email_text,label
"Subject: Earn money from home!

You have a message from a secret admirer. Click here to read: [link]",1
"Subject: Congratulations! You've won a gift card!

Congratulations! You've been selected for our exclusive offer. Act fast before it expires! 

[link]",1
"Subject: Earn money from home!

Hurry up! This is a once-in-a-lifetime opportunity to earn money from home. Sign up now! 

[link]",1
"Subject: Earn money from home!

This is your final notice! You have a package waiting for you. Click here for details: [link]",1
"Subject: Get paid to take surveys!

Congratulations! You've been selected for our exclusive offer. Act fast before it expires! 

[link]",1
"Subject: Act now to receive a discount!

Congratulations! You've been selected for our exclusive offer. Act fast before it expires! 

[link]",1
"Subject: Limited time offer!

Congratulations! You've won a free subscription to our premium service! Click to redeem: [link]",1
"Subject: Exclusive deal just for you!

This is your final notice! You have a package waiting for you. Click here for details: [link]",1
"Subject: Claim your FREE prize now!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
"Subject: Congratulations! You have been selected!

You have a message from a secret admirer. Click here to read: [link]",1
"Subject: Congratulations! You've won a gift card!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
"Subject: You are a lucky winner!

Dear friend, 

You have been chosen to receive a FREE gift! Click the link below to claim your prize. 

[link]

Best regards,
The Team",1
"Subject: Exclusive deal just for you!

Hurry up! This is a once-in-a-lifetime opportunity to earn money from home. Sign up now! 

[link]",1
"Subject: Claim your FREE prize now!

Your invoice is ready. Click to view and pay: [link]",1
"Subject: Earn money from home!

Dear winner, you have been randomly selected to receive a cash prize of $1,000. Click to claim it now! 

[link]",1
"Subject: Earn money from home!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
"Subject: Act now to receive a discount!

Congratulations! You've been selected for our exclusive offer. Act fast before it expires! 

[link]",1
"Subject: Congratulations! You have been selected!

Congratulations! You've won a free subscription to our premium service! Click to redeem: [link]",1
"Subject: Exclusive deal just for you!

Your invoice is ready. Click to view and pay: [link]",1
"Subject: Act now to receive a discount!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
"Subject: Earn money from home!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
"Subject: Unlock your true potential!

Hurry up! This is a once-in-a-lifetime opportunity to earn money from home. Sign up now! 

[link]",1
"Subject: Congratulations! You have been selected!

Hurry up! This is a once-in-a-lifetime opportunity to earn money from home. Sign up now! 

[link]",1
"Subject: Unlock your true potential!

Your invoice is ready. Click to view and pay: [link]",1
"Subject: Claim your FREE prize now!

This is not a scam! You have a chance to win a luxury vacation. Click here to enter: [link]",1
"Subject: Get paid to take surveys!

Hurry up! This is a once-in-a-lifetime opportunity to earn money from home. Sign up now! 

[link]",1
"Subject: Unlock your true potential!

Your invoice is ready. Click to view and pay: [link]",1
"Subject: Claim your FREE prize now!

This is your final notice! You have a package waiting for you. Click here for details: [link]",1
"Subject: You are a lucky winner!

Congratulations! You've won a free subscription to our premium service! Click to redeem: [link]",1
"Subject: Congratulations! You have been selected!

Important: Your account has been compromised. Please verify your information immediately! 

[link]",1
